0,red,1,2,0
1,small,3,4,0
2,pentagon,5,6,0
3,circle,7,8,0
4,hexagon,9,10,0
5,orange,11,12,0
6,medium,13,14,0
7,,-1,-1,179
8,triangle,17,18,0
9,medium,19,20,0
10,rectangle,21,22,0
11,large,23,24,0
12,yellow,25,26,0
13,hexagon,27,28,0
14,triangle,29,30,0
17,,-1,-1,102
18,pentagon,37,38,0
19,,-1,-1,112
20,large,41,-1,0
21,medium,43,44,0
22,medium,45,46,0
23,,-1,-1,103
24,medium,49,50,0
25,medium,51,52,0
26,medium,53,54,0
27,orange,55,56,0
28,green,57,58,0
29,small,59,60,0
30,yellow,61,62,0
37,,-1,-1,120
38,hexagon,77,78,0
41,,-1,-1,131
43,,-1,-1,166
44,large,89,-1,0
45,circle,91,92,0
46,large,93,-1,0
49,,-1,-1,186
50,small,101,-1,0
51,,-1,-1,164
52,small,105,106,0
53,green,107,-1,0
54,green,109,-1,0
55,,-1,-1,116
56,green,113,114,0
57,triangle,115,116,0
58,orange,117,118,0
59,green,119,120,0
60,yellow,121,122,0
61,large,123,124,0
62,large,125,126,0
77,,-1,-1,111
78,rectangle,157,-1,0
89,,-1,-1,123
91,,-1,-1,196
92,triangle,185,186,0
93,triangle,187,188,0
101,,-1,-1,172
105,,-1,-1,154
106,large,213,-1,0
107,,-1,-1,133
109,large,219,220,0
113,,-1,-1,118
114,yellow,229,-1,0
115,,-1,-1,125
116,rectangle,233,234,0
117,triangle,235,236,0
118,circle,237,238,0
119,,-1,-1,199
120,orange,241,242,0
121,large,243,-1,0
122,large,245,-1,0
123,rectangle,247,248,0
124,small,249,-1,0
125,orange,251,252,0
126,orange,253,254,0
157,,-1,-1,118
185,,-1,-1,147
186,pentagon,373,-1,0
187,,-1,-1,103
188,circle,377,378,0
213,,-1,-1,187
219,,-1,-1,188
220,small,441,-1,0
229,,-1,-1,143
233,,-1,-1,156
234,circle,469,-1,0
235,,-1,-1,130
236,rectangle,473,474,0
237,yellow,475,-1,0
238,yellow,477,-1,0
241,,-1,-1,162
242,yellow,485,-1,0
243,,-1,-1,112
245,orange,491,492,0
247,,-1,-1,101
248,circle,497,498,0
249,circle,499,500,0
251,hexagon,503,504,0
252,circle,505,506,0
253,circle,507,508,0
254,small,509,-1,0
373,,-1,-1,189
377,,-1,-1,191
378,pentagon,757,-1,0
441,,-1,-1,163
469,,-1,-1,174
473,,-1,-1,176
474,circle,949,-1,0
475,,-1,-1,122
477,rectangle,955,956,0
485,,-1,-1,159
491,,-1,-1,104
492,green,985,-1,0
497,,-1,-1,197
498,hexagon,997,-1,0
499,,-1,-1,148
500,rectangle,1001,1002,0
503,,-1,-1,180
504,rectangle,1009,1010,0
505,green,1011,-1,0
506,hexagon,1013,1014,0
507,small,1015,-1,0
508,small,1017,-1,0
509,circle,1019,1020,0
757,,-1,-1,108
949,,-1,-1,140
955,,-1,-1,175
956,triangle,1913,-1,0
985,,-1,-1,114
997,,-1,-1,117
1001,,-1,-1,138
1002,hexagon,2005,-1,0
1009,,-1,-1,131
1010,circle,2021,-1,0
1011,,-1,-1,186
1013,green,2027,-1,0
1014,green,2029,-1,0
1015,,-1,-1,129
1017,rectangle,2035,2036,0
1019,green,2039,-1,0
1020,green,2041,-1,0
1913,,-1,-1,127
2005,,-1,-1,176
2021,,-1,-1,105
2027,,-1,-1,162
2029,rectangle,4059,-1,0
2035,,-1,-1,184
2036,hexagon,4073,-1,0
2039,,-1,-1,169
2041,rectangle,4083,4084,0
4059,,-1,-1,155
4073,,-1,-1,112
4083,,-1,-1,118
4084,hexagon,8169,-1,0
8169,,-1,-1,173
